Genus,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,
Chloroflexus,8.417 ,1.034 ,0.444 ,2.327 ,2.00E-02,5.99E-02,Bacteria>Terrabacteria group>Chloroflexi>Chloroflexia>Chloroflexales>Chloroflexineae>Chloroflexaceae
Aquicella,15.775 ,1.034 ,0.427 ,2.423 ,1.54E-02,4.86E-02,Bacteria>Proteobacteria>Gammaproteobacteria>Legionellales>Coxiellaceae
Schistosoma,102.434 ,1.032 ,0.543 ,1.902 ,5.71E-02,1.39E-01,Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Protostomia>Spiralia>Lophotrochozoa>Platyhelminthes>Trematoda>Digenea>Strigeidida>Schistosomatoidea>Schistosomatidae
Vespertiliibacter,5.955 ,1.031 ,0.493 ,2.091 ,3.65E-02,9.74E-02,Bacteria>Proteobacteria>Gammaproteobacteria>Pasteurellales>Pasteurellaceae
Corylus,61.232 ,1.031 ,0.509 ,2.026 ,4.28E-02,1.10E-01,Eukaryota>Viridiplantae>Streptophyta>Streptophytina>Embryophyta>Tracheophyta>Euphyllophyta>Spermatophyta>Magnoliopsida>Mesangiospermae>eudicotyledons>Gunneridae>Pentapetalae>rosids>fabids>Fagales>Betulaceae
Fomitiporia,2.216 ,1.030 ,0.480 ,2.146 ,3.18E-02,8.72E-02,Eukaryota>Opisthokonta>Fungi>Dikarya>Basidiomycota>Agaricomycotina>Agaricomycetes>Agaricomycetes incertae sedis>Hymenochaetales>Hymenochaetaceae
Megachile,7.367 ,1.028 ,0.476 ,2.158 ,3.09E-02,8.52E-02,Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Protostomia>Ecdysozoa>Panarthropoda>Arthropoda>Mandibulata>Pancrustacea>Hexapoda>Insecta>Dicondylia>Pterygota>Neoptera>Endopterygota>Hymenoptera>Apocrita>Aculeata>Apoidea>Megachilidae>Megachilinae>Megachilini
Psilotum,0.362 ,1.027 ,0.990 ,1.038 ,2.99E-01,4.62E-01,Eukaryota>Viridiplantae>Streptophyta>Streptophytina>Embryophyta>Tracheophyta>Euphyllophyta>Polypodiopsida>Ophioglossidae>Psilotales>Psilotaceae
Tsukubamonas,0.471 ,1.026 ,1.658 ,0.619 ,5.36E-01,6.86E-01,Eukaryota>Discoba>Tsukubamonadida>Tsukubamonadidae
Boa,0.369 ,1.024 ,1.664 ,0.616 ,5.38E-01,6.88E-01,Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Deuterostomia>Chordata>Craniata>Vertebrata>Gnathostomata>Teleostomi>Euteleostomi>Sarcopterygii>Dipnotetrapodomorpha>Tetrapoda>Amniota>Sauropsida>Sauria>Lepidosauria>Squamata>Bifurcata>Unidentata>Episquamata>Toxicofera>Serpentes>Henophidia>Boidae>Boinae
Sipha,9.751 ,1.020 ,0.489 ,2.086 ,3.69E-02,9.77E-02,Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Protostomia>Ecdysozoa>Panarthropoda>Arthropoda>Mandibulata>Pancrustacea>Hexapoda>Insecta>Dicondylia>Pterygota>Neoptera>Paraneoptera>Hemiptera>Sternorrhyncha>Aphidomorpha>Aphidoidea>Aphididae>Chaitophorinae
Hydrocarboniclastica,11.800 ,1.020 ,0.454 ,2.246 ,2.47E-02,7.09E-02,Bacteria>Proteobacteria>Gammaproteobacteria>Alteromonadales>Alteromonadaceae
Candidatus_Ishikawaella,3.085 ,1.019 ,0.772 ,1.320 ,1.87E-01,3.33E-01,Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae
Lachnoanaerobaculum,13.661 ,1.018 ,0.445 ,2.288 ,2.22E-02,6.56E-02,Bacteria>Terrabacteria group>Firmicutes>Clostridia>Clostridiales>Lachnospiraceae
Marivivens,11.893 ,1.018 ,0.427 ,2.384 ,1.71E-02,5.30E-02,Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae
Hyposmocoma,6.977 ,1.017 ,0.509 ,1.998 ,4.57E-02,1.16E-01,Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Protostomia>Ecdysozoa>Panarthropoda>Arthropoda>Mandibulata>Pancrustacea>Hexapoda>Insecta>Dicondylia>Pterygota>Neoptera>Endopterygota>Amphiesmenoptera>Lepidoptera>Glossata>Neolepidoptera>Heteroneura>Ditrysia>Gelechioidea>Cosmopterigidae>Cosmopteriginae
Hydractinia,0.500 ,1.017 ,0.988 ,1.029 ,3.03E-01,4.66E-01,Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Cnidaria>Hydrozoa>Hydroidolina>Anthoathecata>Filifera>Hydractiniidae
Betula,0.360 ,1.017 ,0.847 ,1.201 ,2.30E-01,3.85E-01,Eukaryota>Viridiplantae>Streptophyta>Streptophytina>Embryophyta>Tracheophyta>Euphyllophyta>Spermatophyta>Magnoliopsida>Mesangiospermae>eudicotyledons>Gunneridae>Pentapetalae>rosids>fabids>Fagales>Betulaceae
Xylophilus,61.915 ,1.015 ,0.347 ,2.925 ,3.44E-03,1.41E-02,Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Burkholderiales genera incertae sedis
Nilaparvata,18.684 ,1.013 ,0.501 ,2.020 ,4.34E-02,1.11E-01,Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Protostomia>Ecdysozoa>Panarthropoda>Arthropoda>Mandibulata>Pancrustacea>Hexapoda>Insecta>Dicondylia>Pterygota>Neoptera>Paraneoptera>Hemiptera>Auchenorrhyncha>Fulgoromorpha>Fulgoroidea>Delphacidae>Delphacinae
Thalassotalea,60.857 ,1.011 ,0.476 ,2.123 ,3.38E-02,9.16E-02,Bacteria>Proteobacteria>Gammaproteobacteria>Alteromonadales>Colwelliaceae
Dendronephthya,10.948 ,1.009 ,0.490 ,2.059 ,3.95E-02,1.03E-01,Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Cnidaria>Anthozoa>Octocorallia>Alcyonacea>Alcyoniina>Nephtheidae
Methanospirillum,5468.052 ,1.009 ,0.983 ,1.026 ,3.05E-01,4.67E-01,Archaea>Euryarchaeota>Stenosarchaea group>Methanomicrobia>Methanomicrobiales>Methanospirillaceae
Sebastes,15.328 ,1.007 ,0.491 ,2.049 ,4.04E-02,1.05E-01,Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Deuterostomia>Chordata>Craniata>Vertebrata>Gnathostomata>Teleostomi>Euteleostomi>Actinopterygii>Actinopteri>Neopterygii>Teleostei>Osteoglossocephalai>Clupeocephala>Euteleosteomorpha>Neoteleostei>Eurypterygia>Ctenosquamata>Acanthomorphata>Euacanthomorphacea>Percomorphaceae>Eupercaria>Perciformes>Scorpaenoidei>Sebastidae>Sebastinae
Dyadobacter,4606.364 ,1.006 ,0.442 ,2.276 ,2.29E-02,6.71E-02,Bacteria>FCB group>Bacteroidetes/Chlorobi group>Bacteroidetes>Cytophagia>Cytophagales>Cytophagaceae
Vittaforma,0.527 ,1.004 ,1.174 ,0.855 ,3.92E-01,5.56E-01,Eukaryota>Opisthokonta>Fungi>Fungi incertae sedis>Microsporidia>Apansporoblastina>Nosematidae
Liquorilactobacillus,14.856 ,1.004 ,0.435 ,2.307 ,2.11E-02,6.29E-02,Bacteria>Terrabacteria group>Firmicutes>Bacilli>Lactobacillales>Lactobacillaceae
Potyvirus,48.113 ,1.004 ,0.566 ,1.773 ,7.63E-02,1.74E-01,Viruses>Riboviria>Orthornavirae>Pisuviricota>Stelpaviricetes>Patatavirales>Potyviridae
Jonquetella,19.168 ,1.004 ,1.267 ,0.792 ,4.28E-01,5.91E-01,Bacteria>Synergistetes>Synergistia>Synergistales>Synergistaceae
Diabrotica,11.008 ,1.003 ,0.505 ,1.989 ,4.68E-02,1.18E-01,Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Protostomia>Ecdysozoa>Panarthropoda>Arthropoda>Mandibulata>Pancrustacea>Hexapoda>Insecta>Dicondylia>Pterygota>Neoptera>Endopterygota>Coleoptera>Polyphaga>Cucujiformia>Chrysomeloidea>Chrysomelidae>Galerucinae>Luperini>Diabroticina>Diabroticites
Plectropomus,225.400 ,1.002 ,0.506 ,1.980 ,4.77E-02,1.20E-01,Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Deuterostomia>Chordata>Craniata>Vertebrata>Gnathostomata>Teleostomi>Euteleostomi>Actinopterygii>Actinopteri>Neopterygii>Teleostei>Osteoglossocephalai>Clupeocephala>Euteleosteomorpha>Neoteleostei>Eurypterygia>Ctenosquamata>Acanthomorphata>Euacanthomorphacea>Percomorphaceae>Eupercaria>Perciformes>Serranoidei>Serranidae>Epinephelinae>Epinephelini
Vollenhovia,8.354 ,1.002 ,0.497 ,2.016 ,4.38E-02,1.12E-01,Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Protostomia>Ecdysozoa>Panarthropoda>Arthropoda>Mandibulata>Pancrustacea>Hexapoda>Insecta>Dicondylia>Pterygota>Neoptera>Endopterygota>Hymenoptera>Apocrita>Aculeata>Formicoidea>Formicidae>Myrmicinae>Stenammini
Phlogophora,97.900 ,1.001 ,0.560 ,1.787 ,7.39E-02,1.70E-01,Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Protostomia>Ecdysozoa>Panarthropoda>Arthropoda>Mandibulata>Pancrustacea>Hexapoda>Insecta>Dicondylia>Pterygota>Neoptera>Endopterygota>Amphiesmenoptera>Lepidoptera>Glossata>Neolepidoptera>Heteroneura>Ditrysia>Obtectomera>Noctuoidea>Noctuidae>Hadeninae
Arabidopsis,87.422 ,1.001 ,0.529 ,1.891 ,5.86E-02,1.41E-01,Eukaryota>Viridiplantae>Streptophyta>Streptophytina>Embryophyta>Tracheophyta>Euphyllophyta>Spermatophyta>Magnoliopsida>Mesangiospermae>eudicotyledons>Gunneridae>Pentapetalae>rosids>malvids>Brassicales>Brassicaceae>Camelineae
Fretibacterium,6.930 ,0.997 ,0.475 ,2.101 ,3.56E-02,9.54E-02,Bacteria>Synergistetes>Synergistia>Synergistales>Synergistaceae
Rouxiella,14.929 ,0.996 ,0.404 ,2.463 ,1.38E-02,4.44E-02,Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Yersiniaceae
Polerovirus,1.085 ,0.995 ,1.803 ,0.552 ,5.81E-01,7.23E-01,Viruses>Riboviria>Orthornavirae>Kitrinoviricota>Tolucaviricetes>Tolivirales>Luteoviridae
Thermoplasma,0.813 ,0.995 ,0.986 ,1.009 ,3.13E-01,4.75E-01,Archaea>Candidatus Thermoplasmatota>Thermoplasmata>Thermoplasmatales>Thermoplasmataceae
Saccoglossus,8.955 ,0.995 ,0.498 ,1.999 ,4.56E-02,1.16E-01,Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Deuterostomia>Hemichordata>Enteropneusta>Harrimaniidae
Cytophaga,249.460 ,0.994 ,0.409 ,2.431 ,1.51E-02,4.77E-02,Bacteria>FCB group>Bacteroidetes/Chlorobi group>Bacteroidetes>Cytophagia>Cytophagales>Cytophagaceae
Endomicrobium,28.605 ,0.994 ,0.589 ,1.687 ,9.16E-02,2.00E-01,Bacteria>Elusimicrobia>Endomicrobia>Endomicrobiales>Endomicrobiaceae
Lacimicrobium,11.226 ,0.992 ,0.472 ,2.101 ,3.57E-02,9.55E-02,Bacteria>Proteobacteria>Gammaproteobacteria>Alteromonadales>Alteromonadaceae
Nitrosopumilus,17.899 ,0.991 ,0.517 ,1.915 ,5.55E-02,1.36E-01,Archaea>TACK group>Thaumarchaeota>Nitrosopumilales>Nitrosopumilaceae
Allochromatium,13.538 ,0.990 ,0.442 ,2.239 ,2.51E-02,7.18E-02,Bacteria>Proteobacteria>Gammaproteobacteria>Chromatiales>Chromatiaceae
Giardia,3.594 ,0.990 ,0.515 ,1.920 ,5.48E-02,1.34E-01,Eukaryota>Metamonada>Fornicata>Diplomonadida>Hexamitidae>Giardiinae
Acanthopagrus,567.685 ,0.990 ,0.445 ,2.222 ,2.63E-02,7.47E-02,Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Deuterostomia>Chordata>Craniata>Vertebrata>Gnathostomata>Teleostomi>Euteleostomi>Actinopterygii>Actinopteri>Neopterygii>Teleostei>Osteoglossocephalai>Clupeocephala>Euteleosteomorpha>Neoteleostei>Eurypterygia>Ctenosquamata>Acanthomorphata>Euacanthomorphacea>Percomorphaceae>Eupercaria>Spariformes>Sparidae
Centruroides,14.988 ,0.989 ,0.507 ,1.951 ,5.11E-02,1.27E-01,Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Protostomia>Ecdysozoa>Panarthropoda>Arthropoda>Chelicerata>Arachnida>Scorpiones>Buthida>Buthoidea>Buthidae
Anabas,230.514 ,0.988 ,0.505 ,1.957 ,5.04E-02,1.26E-01,Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Deuterostomia>Chordata>Craniata>Vertebrata>Gnathostomata>Teleostomi>Euteleostomi>Actinopterygii>Actinopteri>Neopterygii>Teleostei>Osteoglossocephalai>Clupeocephala>Euteleosteomorpha>Neoteleostei>Eurypterygia>Ctenosquamata>Acanthomorphata>Euacanthomorphacea>Percomorphaceae>Anabantaria>Anabantiformes>Anabantoidei>Anabantidae
Arabis,53.734 ,0.987 ,0.562 ,1.757 ,7.90E-02,1.79E-01,Eukaryota>Viridiplantae>Streptophyta>Streptophytina>Embryophyta>Tracheophyta>Euphyllophyta>Spermatophyta>Magnoliopsida>Mesangiospermae>eudicotyledons>Gunneridae>Pentapetalae>rosids>malvids>Brassicales>Brassicaceae>Arabideae
Candidatus_Amoebophilus,4.991 ,0.986 ,0.531 ,1.857 ,6.33E-02,1.50E-01,Bacteria>FCB group>Bacteroidetes/Chlorobi group>Bacteroidetes>Cytophagia>Cytophagales>Amoebophilaceae
Thauera,1774.020 ,0.985 ,0.416 ,2.368 ,1.79E-02,5.48E-02,Bacteria>Proteobacteria>Betaproteobacteria>Rhodocyclales>Zoogloeaceae
Craniophora,107.009 ,0.984 ,0.555 ,1.774 ,7.61E-02,1.74E-01,Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Protostomia>Ecdysozoa>Panarthropoda>Arthropoda>Mandibulata>Pancrustacea>Hexapoda>Insecta>Dicondylia>Pterygota>Neoptera>Endopterygota>Amphiesmenoptera>Lepidoptera>Glossata>Neolepidoptera>Heteroneura>Ditrysia>Obtectomera>Noctuoidea>Noctuidae>Acronictinae
Salinivibrio,46.169 ,0.982 ,0.367 ,2.673 ,7.51E-03,2.72E-02,Bacteria>Proteobacteria>Gammaproteobacteria>Vibrionales>Vibrionaceae
Streptobacillus,8.164 ,0.981 ,0.559 ,1.756 ,7.90E-02,1.79E-01,Bacteria>Fusobacteria>Fusobacteriia>Fusobacteriales>Leptotrichiaceae
Oscillibacter,126.821 ,0.980 ,0.460 ,2.129 ,3.32E-02,9.06E-02,Bacteria>Terrabacteria group>Firmicutes>Clostridia>Clostridiales>Oscillospiraceae
Durio,11.691 ,0.979 ,0.483 ,2.028 ,4.26E-02,1.10E-01,Eukaryota>Viridiplantae>Streptophyta>Streptophytina>Embryophyta>Tracheophyta>Euphyllophyta>Spermatophyta>Magnoliopsida>Mesangiospermae>eudicotyledons>Gunneridae>Pentapetalae>rosids>malvids>Malvales>Malvaceae>Helicteroideae
Acromyrmex,2.923 ,0.979 ,0.515 ,1.901 ,5.73E-02,1.39E-01,Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Protostomia>Ecdysozoa>Panarthropoda>Arthropoda>Mandibulata>Pancrustacea>Hexapoda>Insecta>Dicondylia>Pterygota>Neoptera>Endopterygota>Hymenoptera>Apocrita>Aculeata>Formicoidea>Formicidae>Myrmicinae>Attini
Maxrubnervirus,2.636 ,0.978 ,1.331 ,0.735 ,4.62E-01,6.22E-01,Viruses>Duplodnaviria>Heunggongvirae>Uroviricota>Caudoviricetes>Caudovirales>Siphoviridae
Ochromonas,1.917 ,0.976 ,1.061 ,0.920 ,3.58E-01,5.22E-01,Eukaryota>Sar>Stramenopiles>Ochrophyta>Chrysophyceae>Chromulinales>Chromulinaceae
Staphylospora,4.350 ,0.974 ,0.480 ,2.028 ,4.26E-02,1.10E-01,Bacteria>Terrabacteria group>Firmicutes>Bacilli>Bacillales>Thermoactinomycetaceae
Anoplophora,7.579 ,0.973 ,0.502 ,1.937 ,5.27E-02,1.31E-01,Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Protostomia>Ecdysozoa>Panarthropoda>Arthropoda>Mandibulata>Pancrustacea>Hexapoda>Insecta>Dicondylia>Pterygota>Neoptera>Endopterygota>Coleoptera>Polyphaga>Cucujiformia>Chrysomeloidea>Cerambycidae>Lamiinae>Lamiini
Eutreptiella,0.376 ,0.972 ,1.189 ,0.818 ,4.14E-01,5.76E-01,Eukaryota>Discoba>Euglenozoa>Euglenida>Spirocuta>Euglenophyceae>Eutreptiales
Limulus,15.567 ,0.972 ,0.512 ,1.897 ,5.78E-02,1.40E-01,Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Protostomia>Ecdysozoa>Panarthropoda>Arthropoda>Chelicerata>Merostomata>Xiphosura>Limulidae
Rahnella,157.033 ,0.972 ,0.375 ,2.588 ,9.65E-03,3.34E-02,Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Yersiniaceae
Bicyclus,9.634 ,0.970 ,0.505 ,1.920 ,5.48E-02,1.34E-01,Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Protostomia>Ecdysozoa>Panarthropoda>Arthropoda>Mandibulata>Pancrustacea>Hexapoda>Insecta>Dicondylia>Pterygota>Neoptera>Endopterygota>Amphiesmenoptera>Lepidoptera>Glossata>Neolepidoptera>Heteroneura>Ditrysia>Obtectomera>Papilionoidea>Nymphalidae>Satyrinae>Satyrini>Mycalesina
Candidatus_Tenderia,14.317 ,0.970 ,0.510 ,1.904 ,5.69E-02,1.39E-01,Bacteria>Proteobacteria>Gammaproteobacteria>Chromatiales>Chromatiaceae
Janthinobacterium,5599.135 ,0.969 ,0.376 ,2.576 ,1.00E-02,3.43E-02,Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Oxalobacteraceae
Ahniella,28.533 ,0.969 ,0.410 ,2.361 ,1.82E-02,5.57E-02,Bacteria>Proteobacteria>Gammaproteobacteria>Xanthomonadales>Rhodanobacteraceae
Tremella,3.717 ,0.968 ,0.510 ,1.899 ,5.76E-02,1.40E-01,Eukaryota>Opisthokonta>Fungi>Dikarya>Basidiomycota>Agaricomycotina>Tremellomycetes>Tremellales>Tremellaceae
Eneladusvirus,0.362 ,0.967 ,1.345 ,0.719 ,4.72E-01,6.28E-01,Viruses>Duplodnaviria>Heunggongvirae>Uroviricota>Caudoviricetes>Caudovirales>Myoviridae
Chenopodium,17.299 ,0.967 ,0.511 ,1.892 ,5.84E-02,1.41E-01,Eukaryota>Viridiplantae>Streptophyta>Streptophytina>Embryophyta>Tracheophyta>Euphyllophyta>Spermatophyta>Magnoliopsida>Mesangiospermae>eudicotyledons>Gunneridae>Pentapetalae>Caryophyllales>Chenopodiaceae>Chenopodioideae>Atripliceae
Cardiobacterium,16.691 ,0.966 ,0.381 ,2.535 ,1.13E-02,3.78E-02,Bacteria>Proteobacteria>Gammaproteobacteria>Cardiobacteriales>Cardiobacteriaceae
Azemiops,0.361 ,0.966 ,1.683 ,0.574 ,5.66E-01,7.10E-01,Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Deuterostomia>Chordata>Craniata>Vertebrata>Gnathostomata>Teleostomi>Euteleostomi>Sarcopterygii>Dipnotetrapodomorpha>Tetrapoda>Amniota>Sauropsida>Sauria>Lepidosauria>Squamata>Bifurcata>Unidentata>Episquamata>Toxicofera>Serpentes>Colubroidea>Viperidae>Azemiopinae
Webervirus,2.635 ,0.965 ,0.913 ,1.057 ,2.91E-01,4.53E-01,Viruses>Duplodnaviria>Heunggongvirae>Uroviricota>Caudoviricetes>Caudovirales>Drexlerviridae
Desulfurobacterium,3.884 ,0.964 ,0.658 ,1.465 ,1.43E-01,2.76E-01,Bacteria>Aquificae>Aquificae>Desulfurobacteriales>Desulfurobacteriaceae
Aricia,84.763 ,0.962 ,0.539 ,1.786 ,7.40E-02,1.70E-01,Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Protostomia>Ecdysozoa>Panarthropoda>Arthropoda>Mandibulata>Pancrustacea>Hexapoda>Insecta>Dicondylia>Pterygota>Neoptera>Endopterygota>Amphiesmenoptera>Lepidoptera>Glossata>Neolepidoptera>Heteroneura>Ditrysia>Obtectomera>Papilionoidea>Lycaenidae>Polyommatinae
Naumovozyma,8.666 ,0.962 ,0.439 ,2.192 ,2.84E-02,7.89E-02,Eukaryota>Opisthokonta>Fungi>Dikarya>Ascomycota>saccharomyceta>Saccharomycotina>Saccharomycetes>Saccharomycetales>Saccharomycetaceae
Haplochromis,3.452 ,0.961 ,0.529 ,1.817 ,6.93E-02,1.61E-01,Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Deuterostomia>Chordata>Craniata>Vertebrata>Gnathostomata>Teleostomi>Euteleostomi>Actinopterygii>Actinopteri>Neopterygii>Teleostei>Osteoglossocephalai>Clupeocephala>Euteleosteomorpha>Neoteleostei>Eurypterygia>Ctenosquamata>Acanthomorphata>Euacanthomorphacea>Percomorphaceae>Ovalentaria>Cichlomorphae>Cichliformes>Cichlidae>African cichlids>Pseudocrenilabrinae>Haplochromini
Zygosaccharomyces,7.699 ,0.959 ,0.439 ,2.187 ,2.88E-02,7.99E-02,Eukaryota>Opisthokonta>Fungi>Dikarya>Ascomycota>saccharomyceta>Saccharomycotina>Saccharomycetes>Saccharomycetales>Saccharomycetaceae
Wigglesworthia,3.300 ,0.959 ,0.554 ,1.731 ,8.35E-02,1.87E-01,Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Erwiniaceae
Kaistella,180062.125 ,0.958 ,0.418 ,2.290 ,2.20E-02,6.53E-02,Bacteria>FCB group>Bacteroidetes/Chlorobi group>Bacteroidetes>Flavobacteriia>Flavobacteriales>Weeksellaceae>Chryseobacterium group
Parashewanella,25.525 ,0.956 ,0.488 ,1.958 ,5.02E-02,1.26E-01,Bacteria>Proteobacteria>Gammaproteobacteria>Alteromonadales>Shewanellaceae
Rhodocytophaga,26.698 ,0.955 ,0.381 ,2.504 ,1.23E-02,4.07E-02,Bacteria>FCB group>Bacteroidetes/Chlorobi group>Bacteroidetes>Cytophagia>Cytophagales>Cytophagaceae
Candidatus_Methylospira,10.874 ,0.953 ,0.443 ,2.155 ,3.12E-02,8.57E-02,Bacteria>Proteobacteria>Gammaproteobacteria>Methylococcales>Methylococcaceae
Permianibacter,13.621 ,0.953 ,0.433 ,2.199 ,2.78E-02,7.79E-02,Bacteria>Proteobacteria>Gammaproteobacteria>Pseudomonadales>Pseudomonadaceae
Olea,16.581 ,0.953 ,0.504 ,1.890 ,5.88E-02,1.41E-01,Eukaryota>Viridiplantae>Streptophyta>Streptophytina>Embryophyta>Tracheophyta>Euphyllophyta>Spermatophyta>Magnoliopsida>Mesangiospermae>eudicotyledons>Gunneridae>Pentapetalae>asterids>lamiids>Lamiales>Oleaceae>Oleeae
Candidatus_Protochlamydia,15.686 ,0.951 ,0.411 ,2.315 ,2.06E-02,6.18E-02,Bacteria>PVC group>Chlamydiae>Chlamydiia>Parachlamydiales>Parachlamydiaceae
Linum,54.156 ,0.951 ,0.551 ,1.726 ,8.43E-02,1.88E-01,Eukaryota>Viridiplantae>Streptophyta>Streptophytina>Embryophyta>Tracheophyta>Euphyllophyta>Spermatophyta>Magnoliopsida>Mesangiospermae>eudicotyledons>Gunneridae>Pentapetalae>rosids>fabids>Malpighiales>Linaceae
Lingula,13.192 ,0.950 ,0.520 ,1.827 ,6.77E-02,1.58E-01,Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Protostomia>Spiralia>Lophotrochozoa>Brachiopoda>Linguliformea>Lingulata>Lingulida>Linguloidea>Lingulidae
Sapovirus,0.825 ,0.949 ,1.881 ,0.505 ,6.14E-01,7.49E-01,Viruses>Riboviria>Orthornavirae>Pisuviricota>Pisoniviricetes>Picornavirales>Caliciviridae
Hepacivirus,1.870 ,0.948 ,0.532 ,1.782 ,7.48E-02,1.71E-01,Viruses>Riboviria>Orthornavirae>Kitrinoviricota>Flasuviricetes>Amarillovirales>Flaviviridae
Idiomarina,127.693 ,0.948 ,0.338 ,2.805 ,5.04E-03,1.92E-02,Bacteria>Proteobacteria>Gammaproteobacteria>Alteromonadales>Idiomarinaceae
Leptolyngbya,20.254 ,0.948 ,0.423 ,2.243 ,2.49E-02,7.13E-02,Bacteria>Terrabacteria group>Cyanobacteria/Melainabacteria group>Cyanobacteria>Synechococcales>Leptolyngbyaceae
Flavivirus,0.392 ,0.946 ,1.086 ,0.871 ,3.84E-01,5.47E-01,Viruses>Riboviria>Orthornavirae>Kitrinoviricota>Flasuviricetes>Amarillovirales>Flaviviridae
Hemiselmis,0.722 ,0.946 ,1.339 ,0.706 ,4.80E-01,6.35E-01,Eukaryota>Cryptophyceae>Cryptomonadales>Hemiselmidaceae
Spodoptera,73.157 ,0.945 ,0.392 ,2.409 ,1.60E-02,5.01E-02,Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Protostomia>Ecdysozoa>Panarthropoda>Arthropoda>Mandibulata>Pancrustacea>Hexapoda>Insecta>Dicondylia>Pterygota>Neoptera>Endopterygota>Amphiesmenoptera>Lepidoptera>Glossata>Neolepidoptera>Heteroneura>Ditrysia>Obtectomera>Noctuoidea>Noctuidae>Amphipyrinae
Saccharomycopsis,20.484 ,0.944 ,0.444 ,2.126 ,3.35E-02,9.11E-02,Eukaryota>Opisthokonta>Fungi>Dikarya>Ascomycota>saccharomyceta>Saccharomycotina>Saccharomycetes>Saccharomycetales>Saccharomycopsidaceae
Glossina,9.007 ,0.941 ,0.482 ,1.951 ,5.11E-02,1.27E-01,Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Protostomia>Ecdysozoa>Panarthropoda>Arthropoda>Mandibulata>Pancrustacea>Hexapoda>Insecta>Dicondylia>Pterygota>Neoptera>Endopterygota>Diptera>Brachycera>Muscomorpha>Eremoneura>Cyclorrhapha>Schizophora>Calyptratae>Hippoboscoidea>Glossinidae
Thiohalobacter,17.329 ,0.941 ,0.429 ,2.194 ,2.82E-02,7.87E-02,Bacteria>Proteobacteria>Gammaproteobacteria>Chromatiales>Chromatiales incertae sedis
Acetilactobacillus,2.311 ,0.941 ,0.496 ,1.898 ,5.77E-02,1.40E-01,Bacteria>Terrabacteria group>Firmicutes>Bacilli>Lactobacillales>Lactobacillaceae
Sulfuriflexus,7.890 ,0.941 ,0.527 ,1.785 ,7.42E-02,1.70E-01,Bacteria>Proteobacteria>Gammaproteobacteria>Chromatiales>Granulosicoccaceae
Luteolibacter,135.136 ,0.940 ,0.379 ,2.479 ,1.32E-02,4.31E-02,Bacteria>PVC group>Verrucomicrobia>Verrucomicrobiae>Verrucomicrobiales>Verrucomicrobiaceae
Reinekea,13.462 ,0.939 ,0.512 ,1.833 ,6.68E-02,1.56E-01,Bacteria>Proteobacteria>Gammaproteobacteria>Oceanospirillales>Saccharospirillaceae
Terasakiella,7.263 ,0.939 ,0.472 ,1.990 ,4.65E-02,1.18E-01,Bacteria>Proteobacteria>Alphaproteobacteria>Rhodospirillales>Terasakiellaceae
